Suburb,Month,Year,avg_price
CAULFIELD NORTH,10,2016,2115000
CAULFIELD NORTH,11,2016,542000
CAULFIELD NORTH,12,2016,984333.33
CAULFIELD NORTH,2,2017,1245800
CAULFIELD NORTH,3,2017,844522.25
CAULFIELD NORTH,4,2017,532500
CAULFIELD NORTH,5,2017,1368179.13
CAULFIELD NORTH,6,2017,901081.83
CAULFIELD NORTH,7,2017,564904.67
CAULFIELD NORTH,8,2017,1542500
CAULFIELD NORTH,9,2017,1080000
CAULFIELD SOUTH,4,2016,1043500
CAULFIELD SOUTH,5,2016,1447386.18
